alcohol,appellation,bottle size,category,date published,designation,importer,price,taster,url,user avg rating,variety,wine_desc,wine_name,wine_points,winery
14.5%,"Sta. Rita Hills, Central Coast, California, US",750 ml,Red,9/1/2017,,,"$34.99,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/reaper-2014-pinot-noir-sta-rita-hills,Not rated yet [Add Your Review],Pinot Noir,"Clean aromas of black cherry, dried thyme and white pepper show that this bottling isn't just all about creative packaging, with its Grim Reaper theme. The flavors are also cohesive and well integrated, with nutmeg, clove and stewed red cherry working together.",Reaper 2014 Pinot Noir (Sta. Rita Hills),88.0,Reaper
12%,"Amador County, Sierra Foothills, California, US",750 ml,Rose,9/1/2017,,,"$20,  Buy Now",Jim Gordon,http://www.winemag.com/buying-guide/renwood-2016-rose-amador-county,Not rated yet [Add Your Review],Rosé,"This wine made from Zinfandel grapes has an attractive, light coral color and effusive melon aromas. It follows up with vivid canteloupe and watermelon flavors buoyed by lively acidity. Light in body, it's also appetizing in texture.",Renwood 2016 Rosé (Amador County),88.0,Renwood
14.5%,"Russian River Valley, Sonoma, California, US",750 ml,Red,9/1/2017,,,"$25,  Buy Now",Virginie Boone,http://www.winemag.com/buying-guide/rodney-strong-2014-pinot-noir-russian-river-valley,Not rated yet [Add Your Review],Pinot Noir,"Red raspberry and cherry offer a depth of fruit flavor in this full-bodied, robust wine that's buoyed by moderate acidity. The cherry is seasoned in baking spice and black tea, as accents of toasted oak lean into rich vanilla.",Rodney Strong 2014 Pinot Noir (Russian River Valley),88.0,Rodney Strong
13.4%,"Carneros, Napa-Sonoma, California, US",750 ml,White,9/1/2017,Heritage Block Old Wente,,"$62,  Buy Now",Virginie Boone,http://www.winemag.com/buying-guide/saintsbury-2015-heritage-block-old-wente-chardonnay-carneros,Not rated yet [Add Your Review],Chardonnay,"Intense and high in acidity, this wine skirts the edge of ripeness in its salty, briny take on the variety, a nod to an historic clone. Floral, it persists in apple blossom and tart Meyer lemon, finishing crisp and fresh.",Saintsbury 2015 Heritage Block Old Wente Chardonnay (Carneros),88.0,Saintsbury
13.9%,"Russian River Valley, Sonoma, California, US",750 ml,White,9/1/2017,Cuvée Ma Belle Heintz Ranch,,"$40,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/sandler-2015-cuvee-ma-belle-heintz-ranch-chardonnay-russian-river-valley,Not rated yet [Add Your Review],Chardonnay,"Coconut oil, buttercream and vanilla custard show on the nose of this bottling from a historic vineyard. Flavors tighten up on the sip, where a grippy texture shows squeezed lemon and the slightest hint of tropicality.",Sandler 2015 Cuvée Ma Belle Heintz Ranch Chardonnay (Russian River Valley),88.0,Sandler
13.9%,"Lake County, Mendocino/Lake Counties, California, US",750 ml,Red,9/1/2017,High Elevation Collection,,"$20,  Buy Now",Jim Gordon,http://www.winemag.com/buying-guide/shannon-ridge-2015-high-elevation-collection-cabernet-sauvignon-lake-county,Not rated yet [Add Your Review],Cabernet Sauvignon,"This attractive, smooth-textured wine offers plenty of almost-sweet fruit flavors like black cherry and prune dusted with cinnamon and cedar for complexity. The tannins are abundant but soft, so there is little astringency, and the wine is easy to sip and enjoy.",Shannon Ridge 2015 High Elevation Collection Cabernet Sauvignon (Lake County),88.0,Shannon Ridge
12.5%,"Südsteiermark, Austria",750 ml,White,9/1/2017,Eichberger,Vin Divino,"$30,  Buy Now",Anne Krebiehl MW,http://www.winemag.com/buying-guide/skoff-2016-eichberger-sauvignon-blanc-sudsteiermark,Not rated yet [Add Your Review],Sauvignon Blanc,"The merest touch of passion fruit streaks the lemony, fresh nose. Although the palate seems a little dilute, it is light, fresh and finishes on a lingering lemon note.",Skoff 2016 Eichberger Sauvignon Blanc (Südsteiermark),88.0,Skoff
14.5%,"Monterey, Central Coast, California, US",750 ml,White,9/1/2017,Kali Hart,,"$23,  Buy Now",Matt Kettmann,http://www.winemag.com/buying-guide/talbott-2015-kali-hart-chardonnay-monterey,Not rated yet [Add Your Review],Chardonnay,"This rich and strongly aromatic bottling shows marshmallow, cotton candy and banana cream on the nose. The palate picks up a freshness and flinty character, with rounded, ripe flavors of honeysuckle and lemon cream. The strong acidity and grippy texture keep the wine in line.",Talbott 2015 Kali Hart Chardonnay (Monterey),88.0,Talbott
12%,"Rías Baixas, Galicia, Spain",750 ml,White,9/1/2017,La Mar,"Hidalgo Imports, LLC","$40,  Buy Now",Michael Schachner,http://www.winemag.com/buying-guide/terras-gauda-2014-la-mar-white-rias-baixas,Not rated yet [Add Your Review],White Blend,"This chunky, funky blend is led by the local Caiño Blanco grape, with Loureiro and Albariño in the mix. Lanolin is a more prominent aroma than any particular fruit, and this wine feels round but mature. Peach and dried melon flavors finish with little drive. Drink immediately.",Terras Gauda 2014 La Mar White (Rías Baixas),88.0,Terras Gauda
14.5%,"Alexander Valley, Sonoma, California, US",750 ml,Red,9/1/2017,,,"$40,  Buy Now",Virginie Boone,http://www.winemag.com/buying-guide/tom-gore-2014-cabernet-sauvignon-alexander-valley,Not rated yet [Add Your Review],Cabernet Sauvignon,"Gritty and steeped in earthy compost, this wine includes a tiny amount of Petit Verdo that adds to its dark color and dense concentration. Dusty plum, blackberry and spicy clove combine forcefully for a full-bodied, toasted-oak experience, finishing with elegantly rich softness.",Tom Gore 2014 Cabernet Sauvignon (Alexander Valley),88.0,Tom Gore
12.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Rose,9/1/2017,And Why am I Mr. Pink? Rosé of,,"$11,  Buy Now",Sean P. Sullivan,http://www.winemag.com/buying-guide/underground-wine-project-2016-and-why-am-i-mr-pink-rose-of-sangiovese-columbia-valley-wa-265974,Not rated yet [Add Your Review],Sangiovese,"A very appealing pale-peach color, this wine brings aromas of strawberry and cherry. The flavors are tart and decisive, with a lingering finish.",Underground Wine Project 2016 And Why am I Mr. Pink? Rosé of Sangiovese (Columbia Valley (WA)),88.0,Underground Wine Project
14%,"Barolo, Piedmont, Italy",750 ml,Red,9/1/2017,Paesi Tuoi,Opera Wine Imports,"$60,  Buy Now",Kerin O’Keefe,http://www.winemag.com/buying-guide/vite-colte-2013-paesi-tuoi-barolo,Not rated yet [Add Your Review],Nebbiolo,"Aromas of menthol, espresso and pressed rose take center stage. The medium-bodied palate shows spiced cranberry, pomegranate, roasted coffee bean, anise and a rather green note of powdered sage. Assertive close-grained tannins clench the finish. Give the tannins a few more years to unwind then drink.",Vite Colte 2013 Paesi Tuoi  (Barolo),88.0,Vite Colte
14.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red,9/1/2017,Wilderness,,"$25,  Buy Now",Sean P. Sullivan,http://www.winemag.com/buying-guide/sparkman-2014-wilderness-red-columbia-valley-wa,Not rated yet [Add Your Review],Red Blend,"This wine is a kitchen-sink blend of Syrah, Grenache, Petite Sirah, Temprannilo, Sauzão and Touriga Naçional. The aromas are lighter in style, with notes of high-toned red fruit, herb, red fruit and spice. Red and black-fruit flavors fill out the palate, lengthening on the finish.",Sparkman 2014 Wilderness Red (Columbia Valley (WA)),88.0,Sparkman
14.5%,"Yakima Valley, Columbia Valley, Washington, US",750 ml,Red,9/1/2017,Yonder,,"$38,  Buy Now",Sean P. Sullivan,http://www.winemag.com/buying-guide/sparkman-2014-yonder-cabernet-franc-yakima-valley,Not rated yet [Add Your Review],Cabernet Franc,"Kiona Vineyard makes up the majority of the fruit for this wine, with the balance coming from Olsen. Aromas of char, plum, wood spice and sliced red apple lead to full-bodied fruit flavors. The tannins show some grittiness.",Sparkman 2014 Yonder Cabernet Franc (Yakima Valley),88.0,Sparkman
